mean_test_score,std_test_score,mean_train_score,mean_fit_time,max_depth,min_samples_leaf,min_samples_split
0.937,0.064,0.955,0.0008,2,9,5
0.937,0.064,0.955,0.0008,2,9,6
0.937,0.064,0.955,0.0008,2,9,7
0.937,0.064,0.955,0.0007,2,9,8
0.937,0.064,0.955,0.0008,2,9,9
0.937,0.064,0.955,0.0012,2,9,10
0.937,0.064,0.955,0.0007,2,9,11
0.937,0.064,0.955,0.0008,2,9,12
0.937,0.064,0.955,0.0008,2,9,13
0.937,0.064,0.955,0.0008,2,9,14
0.937,0.064,0.955,0.002,2,9,15
0.937,0.064,0.955,0.0013,2,9,16
0.937,0.064,0.955,0.0008,2,9,17
0.937,0.064,0.955,0.0008,2,9,18
0.937,0.064,0.955,0.0009,2,9,19
0.936,0.062,0.953,0.0012,2,10,2
0.936,0.062,0.953,0.0016,2,10,3
0.931,0.069,0.953,0.0008,2,10,4
0.931,0.069,0.953,0.0008,2,10,5
0.931,0.069,0.953,0.0009,2,10,6
0.936,0.062,0.953,0.0008,2,10,7
0.936,0.062,0.953,0.0008,2,10,8
0.936,0.062,0.953,0.0008,2,10,9
0.936,0.062,0.953,0.0014,2,10,10
0.931,0.069,0.953,0.0008,2,10,11
0.931,0.069,0.953,0.0008,2,10,12
0.931,0.069,0.953,0.0008,2,10,13
0.936,0.062,0.953,0.0008,2,10,14
0.931,0.069,0.953,0.0008,2,10,15
0.931,0.069,0.953,0.0008,2,10,16
0.936,0.062,0.953,0.0008,2,10,17
0.931,0.069,0.953,0.0008,2,10,18
0.931,0.069,0.953,0.0008,2,10,19
0.931,0.069,0.953,0.0008,2,11,2
0.931,0.069,0.953,0.0008,2,11,3
0.931,0.069,0.953,0.0008,2,11,4
0.936,0.062,0.953,0.0008,2,11,5
0.936,0.062,0.953,0.0008,2,11,6
0.931,0.069,0.953,0.0008,2,11,7
0.931,0.069,0.953,0.0008,2,11,8
0.936,0.062,0.953,0.0008,2,11,9
0.936,0.062,0.953,0.0008,2,11,10
0.936,0.062,0.953,0.0008,2,11,11
0.936,0.062,0.953,0.0008,2,11,12
0.931,0.069,0.953,0.0008,2,11,13
0.936,0.062,0.953,0.0007,2,11,14
0.931,0.069,0.953,0.0007,2,11,15
0.936,0.062,0.953,0.0008,2,11,16
0.936,0.062,0.953,0.0008,2,11,17
0.931,0.069,0.953,0.0008,2,11,18
0.931,0.069,0.953,0.0008,2,11,19
0.936,0.062,0.953,0.0011,2,12,2
0.931,0.069,0.953,0.0009,2,12,3
0.936,0.062,0.953,0.0008,2,12,4
0.936,0.062,0.953,0.0008,2,12,5
0.936,0.062,0.953,0.0007,2,12,6
0.936,0.062,0.953,0.0007,2,12,7
0.931,0.069,0.953,0.0008,2,12,8
0.936,0.062,0.953,0.0008,2,12,9
0.936,0.062,0.953,0.0008,2,12,10
0.931,0.069,0.953,0.0008,2,12,11
0.936,0.062,0.953,0.0012,2,12,12
0.936,0.062,0.953,0.0008,2,12,13
0.931,0.069,0.953,0.0008,2,12,14
0.936,0.062,0.953,0.0008,2,12,15
0.936,0.062,0.953,0.0007,2,12,16
0.931,0.069,0.953,0.0008,2,12,17
0.931,0.069,0.953,0.0008,2,12,18
0.931,0.069,0.953,0.0008,2,12,19
0.931,0.069,0.953,0.0008,2,13,2
0.936,0.062,0.953,0.0008,2,13,3
0.936,0.062,0.953,0.0008,2,13,4
0.931,0.069,0.953,0.0008,2,13,5
0.931,0.069,0.953,0.0008,2,13,6
0.936,0.062,0.953,0.0012,2,13,7
0.931,0.069,0.953,0.0007,2,13,8
0.936,0.062,0.953,0.0008,2,13,9
0.936,0.062,0.953,0.0008,2,13,10
0.931,0.069,0.953,0.0008,2,13,11
0.936,0.062,0.953,0.0008,2,13,12
0.936,0.062,0.953,0.0008,2,13,13
0.931,0.069,0.953,0.0008,2,13,14
0.931,0.069,0.953,0.0008,2,13,15
0.936,0.062,0.953,0.0008,2,13,16
0.936,0.062,0.953,0.0008,2,13,17
0.931,0.069,0.953,0.0008,2,13,18
0.936,0.062,0.953,0.001,2,13,19
0.936,0.062,0.953,0.0009,2,14,2
0.936,0.062,0.953,0.0008,2,14,3
0.936,0.062,0.953,0.0008,2,14,4
0.931,0.069,0.953,0.0008,2,14,5
0.931,0.069,0.953,0.0008,2,14,6
0.936,0.062,0.953,0.0008,2,14,7
0.931,0.069,0.953,0.0008,2,14,8
0.936,0.062,0.953,0.0008,2,14,9
0.936,0.062,0.953,0.0008,2,14,10
0.931,0.069,0.953,0.0008,2,14,11
0.931,0.069,0.953,0.0008,2,14,12
0.936,0.062,0.953,0.0013,2,14,13
0.931,0.069,0.953,0.0008,2,14,14
0.936,0.062,0.953,0.0019,2,14,15
0.931,0.069,0.953,0.0017,2,14,16
0.931,0.069,0.953,0.0018,2,14,17
0.936,0.062,0.953,0.0022,2,14,18
0.931,0.069,0.953,0.0018,2,14,19
0.934,0.058,0.952,0.0019,2,15,2
0.934,0.058,0.952,0.0008,2,15,3
0.934,0.058,0.952,0.0009,2,15,4
0.934,0.058,0.952,0.0008,2,15,5
0.934,0.058,0.952,0.0008,2,15,6
0.934,0.058,0.952,0.0008,2,15,7
0.934,0.058,0.952,0.0013,2,15,8
0.934,0.058,0.952,0.0008,2,15,9
0.934,0.058,0.952,0.0008,2,15,10
0.934,0.058,0.952,0.0008,2,15,11
0.934,0.058,0.952,0.0008,2,15,12
0.934,0.058,0.952,0.0008,2,15,13
0.934,0.058,0.952,0.0008,2,15,14
0.934,0.058,0.952,0.0008,2,15,15
0.934,0.058,0.952,0.0008,2,15,16
0.934,0.058,0.952,0.0008,2,15,17
0.934,0.058,0.952,0.0008,2,15,18
0.934,0.058,0.952,0.0009,2,15,19
0.936,0.062,0.952,0.0008,2,16,2
0.936,0.062,0.952,0.0013,2,16,3
0.936,0.062,0.952,0.0008,2,16,4
0.936,0.062,0.952,0.0008,2,16,5
0.936,0.062,0.952,0.0008,2,16,6
0.936,0.062,0.952,0.0008,2,16,7
0.936,0.062,0.952,0.0008,2,16,8
0.936,0.062,0.952,0.0008,2,16,9
0.936,0.062,0.952,0.0008,2,16,10
0.936,0.062,0.952,0.0008,2,16,11
0.936,0.062,0.952,0.0008,2,16,12
0.936,0.062,0.952,0.0008,2,16,13
0.936,0.062,0.952,0.0008,2,16,14
0.936,0.062,0.952,0.0008,2,16,15
0.936,0.062,0.952,0.0014,2,16,16
0.936,0.062,0.952,0.0013,2,16,17
0.936,0.062,0.952,0.0008,2,16,18
0.936,0.062,0.952,0.0008,2,16,19
0.937,0.064,0.952,0.0008,2,17,2
0.937,0.064,0.952,0.0008,2,17,3
0.937,0.064,0.952,0.0008,2,17,4
0.937,0.064,0.952,0.0008,2,17,5
0.937,0.064,0.952,0.0007,2,17,6
0.937,0.064,0.952,0.0008,2,17,7
