mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.933,0.193,0.939,0.1342,identity,1,"(5, 50)",invscaling,lbfgs
0.933,0.102,0.939,0.9186,tanh,1,"(10, 50)",adaptive,sgd
0.933,0.09,0.934,0.8864,logistic,1,"(5, 50)",invscaling,adam
0.933,0.081,0.951,0.9182,relu,1,"(5, 100)",adaptive,sgd
0.931,0.079,0.938,0.8531,tanh,0.1,"(10, 50)",adaptive,sgd
0.93,0.06,0.938,1.2097,tanh,1,"(10, 100)",adaptive,sgd
0.928,0.194,0.93,0.7568,relu,1,"(5, 50)",adaptive,sgd
0.927,0.065,0.933,0.8347,tanh,1,"(5, 50)",constant,sgd
0.925,0.194,0.952,0.3557,relu,1,"(5, 50)",constant,lbfgs
0.922,0.195,0.932,1.2746,relu,10,"(5, 100)",invscaling,adam
0.922,0.105,0.939,1.1258,tanh,1,"(5, 100)",constant,sgd
0.922,0.077,0.93,1.1447,tanh,0.1,"(5, 100)",constant,sgd
0.921,0.123,0.917,0.9032,tanh,0.1,"(5, 50)",constant,sgd
0.921,0.079,0.937,0.9187,tanh,0.1,"(10, 50)",constant,sgd
0.919,0.307,0.926,0.138,identity,1,"(5, 50)",constant,lbfgs
0.919,0.112,0.936,0.8057,tanh,1,"(5, 50)",adaptive,sgd
0.918,0.085,0.937,1.2617,tanh,0.1,"(10, 100)",constant,sgd
0.918,0.084,0.932,1.1481,tanh,0.1,"(5, 100)",adaptive,sgd
0.914,0.193,0.968,0.4689,logistic,0.1,"(10, 50)",adaptive,lbfgs
0.914,0.095,0.911,0.8085,tanh,0.1,"(5, 50)",adaptive,sgd
0.912,0.238,0.908,0.1685,identity,0.1,"(10, 100)",invscaling,lbfgs
0.911,0.353,0.927,0.1856,identity,0.1,"(10, 100)",constant,lbfgs
0.909,0.192,0.912,0.7618,tanh,10,"(5, 50)",constant,sgd
0.909,0.131,0.929,1.1043,tanh,1,"(5, 100)",adaptive,sgd
0.906,0.258,0.903,0.0722,identity,10,"(10, 50)",invscaling,lbfgs
0.905,0.25,0.909,0.1079,identity,10,"(10, 100)",constant,lbfgs
0.905,0.244,0.908,0.1733,identity,0.1,"(5, 100)",adaptive,lbfgs
0.905,0.228,0.936,0.4446,relu,0.1,"(5, 100)",invscaling,lbfgs
0.905,0.203,0.91,0.8101,tanh,10,"(5, 50)",adaptive,sgd
0.905,0.187,0.914,1.0779,tanh,10,"(5, 100)",adaptive,sgd
0.903,0.391,0.909,0.2658,identity,0.1,"(5, 100)",invscaling,lbfgs
