mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.96,0.044,1.0,0.0068,100,1,0.1,rbf
0.966,0.021,0.974,0.0225,100,1,0.1,poly
0.966,0.021,0.974,0.2276,100,1,1,linear
0.884,0.039,1.0,0.0122,100,1,1,rbf
0.966,0.021,0.974,0.2507,100,1,1,poly
0.966,0.021,0.974,0.2328,100,1,10,linear
0.69,0.047,1.0,0.0111,100,1,10,rbf
0.966,0.021,0.974,2.0152,100,1,10,poly
0.966,0.021,0.974,0.2345,100,1,100,linear
0.69,0.047,1.0,0.0106,100,1,100,rbf
0.966,0.021,0.974,17.335,100,1,100,poly
0.966,0.021,0.974,0.2514,100,2,0.1,linear
0.96,0.044,1.0,0.0076,100,2,0.1,rbf
0.925,0.05,0.999,0.0914,100,2,0.1,poly
0.966,0.021,0.974,0.2672,100,2,1,linear
0.884,0.039,1.0,0.0121,100,2,1,rbf
0.928,0.054,1.0,0.1119,100,2,1,poly
0.966,0.021,0.974,0.2435,100,2,10,linear
0.69,0.047,1.0,0.0142,100,2,10,rbf
0.928,0.054,1.0,0.1592,100,2,10,poly
0.966,0.021,0.974,0.2408,100,2,100,linear
0.69,0.047,1.0,0.0102,100,2,100,rbf
0.928,0.054,1.0,0.092,100,2,100,poly
0.966,0.021,0.974,0.2375,100,3,0.1,linear
0.96,0.044,1.0,0.0072,100,3,0.1,rbf
0.944,0.041,1.0,0.0202,100,3,0.1,poly
0.966,0.021,0.974,0.232,100,3,1,linear
0.884,0.039,1.0,0.0119,100,3,1,rbf
0.944,0.041,1.0,0.019,100,3,1,poly
0.966,0.021,0.974,0.2578,100,3,10,linear
0.69,0.047,1.0,0.0112,100,3,10,rbf
0.944,0.041,1.0,0.0213,100,3,10,poly
0.966,0.021,0.974,0.2337,100,3,100,linear
0.69,0.047,1.0,0.0107,100,3,100,rbf
0.944,0.041,1.0,0.0195,100,3,100,poly
0.966,0.021,0.974,0.2357,100,4,0.1,linear
0.96,0.044,1.0,0.0065,100,4,0.1,rbf
0.943,0.025,1.0,0.015,100,4,0.1,poly
0.966,0.021,0.974,0.2358,100,4,1,linear
0.884,0.039,1.0,0.0124,100,4,1,rbf
0.943,0.025,1.0,0.015,100,4,1,poly
0.966,0.021,0.974,0.236,100,4,10,linear
0.69,0.047,1.0,0.0109,100,4,10,rbf
0.943,0.025,1.0,0.0146,100,4,10,poly
0.966,0.021,0.974,0.2392,100,4,100,linear
0.69,0.047,1.0,0.0114,100,4,100,rbf
0.943,0.025,1.0,0.0145,100,4,100,poly
